"The ""%1"" template has been deleted.","The ""%1"" template has been deleted."
"We can't find a category template to delete.","We can't find a category template to delete."
"Category Template","Category Template"
"Templates for Category","Templates for Category"
"Please correct the data sent.","Please correct the data sent."
"Something went wrong while saving the category template.","Something went wrong while saving the category template."
"Something went wrong while saving the template.","Something went wrong while saving the template."
"Template ""%1"" has been applyed.","Template ""%1"" has been applyed."
"We can't find a product template to apply.","We can't find a product template to apply."
"New Product Template","New Product Template"
"We can't find a product template to delete.","We can't find a product template to delete."
"Product Template","Product Template"
"Templates for Product","Templates for Product"
"Something went wrong while saving the product template.","Something went wrong while saving the product template."
"Attribute ID","Attribute ID"
"Attribute Code","Attribute Code"
"Category ID","Category ID"
"Category Name","Category Name"
"Store ID","Store ID"
"Store Name","Store Name"
"Current Value","Current Value"
"New Value","New Value"
"Product ID","Product ID"
"Product Name","Product Name"
"The template cannot be saved. There is another template assigned for all categories.","The template cannot be saved. There is another template assigned for all categories."
"The template was saved without assigned products. Please add categories manually.","The template was saved without assigned products. Please add categories manually."
"Template ""%1"" was successfully saved","Template ""%1"" was successfully saved"
"All Categories","All Categories"
"Specific Categories","Specific Categories"
"Category SEO Name","Category SEO Name"
"Category Description","Category Description"
"Category Meta Title","Category Meta Title"
"Category Meta Description","Category Meta Description"
"Category Meta Keywords","Category Meta Keywords"
"The template cannot be saved. There is another template assigned for all products.","The template cannot be saved. There is another template assigned for all products."
"The template was saved without assigned products. Please add products manually.","The template was saved without assigned products. Please add products manually."
"All Products","All Products"
"By Attribute Set","By Attribute Set"
"Specific Products","Specific Products"
"--Please Select--","--Please Select--"
"Product SEO Name","Product SEO Name"
"Product URL Key","Product URL Key"
"Product Short Description","Product Short Description"
"Product Description","Product Description"
"Product Meta Title","Product Meta Title"
"Product Meta Description","Product Meta Description"
"Product Meta Keywords","Product Meta Keywords"
Empty,Empty
All,All
No,No
Yes,Yes
"For each store","For each store"
"Test Apply","Test Apply"
Apply,Apply
"Apply ""${ $.$data.name }""","Apply ""${ $.$data.name }"""
"Are you sure you wan't to apply the Product Template ""${ $.$data.name }"" ? This action cannot be canceled.","Are you sure you wan't to apply the Product Template ""${ $.$data.name }"" ? This action cannot be canceled."
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Are you sure you wan't to delete the Product Template ""${ $.$data.name }"" ?","Are you sure you wan't to delete the Product Template ""${ $.$data.name }"" ?"
"Are you sure you wan't to apply the Category Template ""${ $.$data.name }"" ? This action cannot be canceled.","Are you sure you wan't to apply the Category Template ""${ $.$data.name }"" ? This action cannot be canceled."
"Are you sure you wan't to delete the Category Template ""${ $.$data.name }"" ?","Are you sure you wan't to delete the Category Template ""${ $.$data.name }"" ?"
SEO,SEO
"SEO Extended Templates","SEO Extended Templates"
"Use Product SEO Name for Product Pages","Use Product SEO Name for Product Pages"
"Product SEO Name will be displayed instead of the product name on product pages in the frontend.<br>It is used to change the H1 tag on product pages.","Product SEO Name will be displayed instead of the product name on product pages in the frontend.<br>It is used to change the H1 tag on product pages."
"Use Category SEO Name for Category Pages","Use Category SEO Name for Category Pages"
"Category SEO Name will be displayed instead of the category name on category pages in the frontend.<br>It is used to change the H1 tag on category pages.","Category SEO Name will be displayed instead of the category name on category pages in the frontend.<br>It is used to change the H1 tag on category pages."
"Crop Root Category from Category Template Variable [categories]","Crop Root Category from Category Template Variable [categories]"
"Crop Meta Title ▾","Crop Meta Title ▾"
"&nbsp;&nbsp;&nbsp;&nbsp;Max Length for Meta&nbsp;Title","&nbsp;&nbsp;&nbsp;&nbsp;Max Length for Meta&nbsp;Title"
"Recommended length up to 70 characters.","Recommended length up to 70 characters."
"Crop Meta Description ▾","Crop Meta Description ▾"
"&nbsp;&nbsp;&nbsp;&nbsp;Max Length for Meta&nbsp;Description","&nbsp;&nbsp;&nbsp;&nbsp;Max Length for Meta&nbsp;Description"
"Recommended length up to 150 characters.","Recommended length up to 150 characters."
"Enable E-mail <br> Error Notification ▾","Enable E-mail <br> Error Notification ▾"
"&nbsp;&nbsp;&nbsp;&nbsp;Error Email Recipient","&nbsp;&nbsp;&nbsp;&nbsp;Error Email Recipient"
"&nbsp;&nbsp;&nbsp;&nbsp;Error Email Sender","&nbsp;&nbsp;&nbsp;&nbsp;Error Email Sender"
"Add New Template","Add New Template"
"Delete templates","Delete templates"
"Are you sure you wan't to delete selected templates?","Are you sure you wan't to delete selected templates?"
Code,Code
"Assign For","Assign For"
Priority,Priority
"Write for","Write for"
"Date Modified","Date Modified"
"Date Apply Start","Date Apply Start"
"Date Apply Finish","Date Apply Finish"
"Use Cron","Use Cron"
